Malaria positive by microscopy,Year,Number
Malaria positive by microscopy,2010,1277388
Malaria positive by microscopy,2011,1813654
Malaria positive by microscopy,2012,1772736
Malaria positive by microscopy,2013,1481759
Malaria positive by microscopy,2014,572289
Malaria positive by microscopy,2015,412702
Malaria positive by microscopy,2016,1262679
Malaria positive by microscopy,2017,916742
Malaria positive by microscopy,2018,831903
Malaria positive by microscopy,2019,366673
Malaria positive by microscopy,2020,296052
