Malaria suspects by microscopy ,Year,Number
Malaria suspects by microscopy ,2010,3701608
Malaria suspects by microscopy ,2011,5800195
Malaria suspects by microscopy ,2012,7077411
Malaria suspects by microscopy ,2013,6888029
Malaria suspects by microscopy ,2014,727130
Malaria suspects by microscopy ,2015,673223
Malaria suspects by microscopy ,2016,1386389
Malaria suspects by microscopy ,2017,2888538
Malaria suspects by microscopy ,2018,3015052
Malaria suspects by microscopy ,2019,1840897
Malaria suspects by microscopy ,2020,1696487
